"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"THE TWO COUNTIES TRUST","Ashfield School, Sutton Road, Kirby In Ashfield, Nottinghamshire, NG17 8HP","07972029","85310","17.5","31.8","","","0","0","17","83","29","71","38","62","44","56","","","1000 to 4999","THE TWO COUNTIES TRUST","False","06/10/2021 00:00:00","26/08/2020 13:18:17"
"THE UNITED WESTMINSTER AND GREY COAT FOUNDATION","57 Palace Street, Westminster, London, United Kingdom, SW1E 5HJ","11464504","85200,
85310","20.2","24.9","","","0.0","0.0","19.8","80.2","29.1","70.9","26.2","73.8","50.0","50.0","http://westminstergreycoat.org","Michael Bithell (Finance Director)","Not Provided","THE UNITED WESTMINSTER AND GREY COAT FOUNDATION","False","06/10/2021 00:00:00","08/03/2021 09:18:04"
"THE UNIVERSITY OF MANCHESTER","Stopford Building, Manchester, Greater Manchester, United Kingdom, M13 9PT","RC000797","","17.2","11.8","50.8","51.6","2.1","1.3","38.8","61.2","45.8","54.2","50.0","50.0","59.2","40.8","","","5000 to 19,999","THE UNIVERSITY OF MANCHESTER","False","06/10/2021 00:00:00","12/03/2021 11:51:30"
"THE UNIVERSITY OF MANCHESTER CONFERENCES LIMITED","Directorate Of Finance, John Owens Building, Oxford Road, Manchester, United Kingdom, M13 9PL","02660276","55100,
56210,
56290,
56302","4.4","0.0","","","0.0","1.1","35.0","65.0","35.0","65.0","39.0","61.0","49.0","51.0","https://documents.manchester.ac.uk/display.aspx?DocID=54452","Diana Hampson (Director of Estates and Facilities)","5000 to 19,999","THE UNIVERSITY OF MANCHESTER CONFERENCES LIMITED","False","06/10/2021 00:00:00","11/03/2021 07:09:48"
"THE WELLCOME TRUST LIMITED","Gibbs Building, 215 Euston Road, London, England, NW1 2BE","02711000","96090","25.6","15.9","49.4","18.2","74.1","78.2","29.9","70.1","26.1","73.9","33.6","66.4","45.5","54.5","https://cms.wellcome.org/sites/default/files/2021-02/Gender_pay_gap_report_2020.pdf","Jeremy Farrar (Director)","500 to 999","THE WELLCOME TRUST LIMITED","False","06/10/2021 00:00:00","23/02/2021 12:52:02"
"THE WILF WARD FAMILY TRUST","Westgate House, 5 Westgate, Pickering, North Yorkshire, United Kingdom, YO18 8BA","07568318","87200,
87900,
88990","5.5","	-1.4","	-1.9","33.3","16.8","22.4","26.1","73.9","13.6","86.4","21.0","79.0","17.0","83.0","https://wilfward.org.uk/gender-gap-pay-report/","Paul McCay (Chief Executive Officer)","500 to 999","THE WILF WARD FAMILY TRUST","False","06/10/2021 00:00:00","26/02/2021 14:24:26"
"THOMAS TELFORD MULTI ACADEMY TRUST","Thomas Telford School, Old Park, Telford, Shropshire, TF3 4NW","04798185","85310,
85320","21.6","26.5","33.1","100","64.1","47.3","17.4","82.6","22.9","77.1","34.9","65.1","40.2","59.8","http://www.ttmat.net/page/finance-reports","","500 to 999","THOMAS TELFORD MULTI ACADEMY TRUST","False","06/10/2021 00:00:00","08/01/2021 13:37:27"
"THRIVE EDUCATION PARTNERSHIP","18-19 Bennetts Hill 18-19 Bennetts Hill, Birmingham, England, B2 5QJ","09064864","85590","10.9","5.3","","","0.0","0.0","26.4","73.6","36.6","63.4","45.8","54.2","36.6","63.4","","","Not Provided","THRIVE EDUCATION PARTNERSHIP","False","06/10/2021 00:00:00","09/03/2021 17:53:45"
"TNT EXPRESS ICS LIMITED","Tnt Express House, Holly Lane, Atherstone, England, CV9 2RY","06058166","62090","16.1","16.4","18.6","8.5","1.7","0.9","56.0","44.0","55.0","45.0","72.0","28.0","77.0","23.0","https://www.tnt.com/express/en_gb/site/gender-pay.html","Steve Wilkins (MD HR Services)","250 to 499","TNT EXPRESS ICS LIMITED","False","06/10/2021 00:00:00","03/02/2021 14:09:54"
"TOKIO MARINE KILN INSURANCE SERVICES LIMITED","20 Fenchurch Street, London, EC3M 3BY","05121836","82990","27.7","28.6","52.8","33.1","89.5","86.1","45.5","54.5","50.4","49.6","63.4","36.6","71.8","28.2","","James Shepherd (Head of Human Resources)","500 to 999","TOKIO MARINE KILN INSURANCE SERVICES LIMITED","False","06/10/2021 00:00:00","08/01/2021 17:48:32"
"TORUS62 LIMITED","C/O HELENA PARTNERSHIPS LTD, 4 Corporation Street, Helena Central, St. Helens, Merseyside, WA9 1LD","09183881","41202,
68201","14.8","14.5","44.5","44.5","2.4","0.9","21.8","78.2","25.9","74.1","47.0","53.0","52.4","47.6","https://www.torus.co.uk/wp-content/uploads/2021/02/Torus-Gender-Pay-Gap-Report-2020-Final.pdf","Helen Ward (Group Organisational Development Director)","500 to 999","TORUS62 LIMITED","False","06/10/2021 00:00:00","23/02/2021 08:19:31"
"TOTAL PEOPLE LIMITED","Openshaw Campus And Administrative Centre, Ashton Old Road, Manchester, United Kingdom, M11 2WH","06380764","85590","5.5","14.4","","","0.0","0.0","28.1","71.9","15.8","84.2","45.6","54.4","42.1","57.9","https://www.totalpeople.co.uk/sites/default/files/Total-People-Gender-Pay-Gap-Report-2020.pdf","Barry Lynch (Chair of Board)","Less than 250","TOTAL PEOPLE LIMITED","False","06/10/2021 00:00:00","29/01/2021 09:18:24"
"TOWERS WATSON LIMITED","Watson House, London Road, Reigate, Surrey, RH2 9PQ","05379716","74909","33","33.5","62","65.1","92.5","93","40.4","59.6","43.9","56.1","57.2","42.8","71.2","28.8","https://www.willistowerswatson.com/en-GB/Notices/gender-pay-gap-report","Marco Boschetti (Head of HCB for GB CEO Towers Watson Limited)","1000 to 4999","TOWERS WATSON LIMITED","False","06/10/2021 00:00:00","04/03/2021 10:51:30"
"TRAC PRECISION MACHINING LIMITED","9a Marshfield Bank, Crewe, CW2 8UY","04870503","32990","	-3.2","6.6","10.7","8.4","2.8","33.3","91.0","9.0","98.0","2.0","96.3","3.7","94.5","5.5","","Lewis Hughes (HR Business Partner)","Less than 250","TRAC PRECISION MACHINING LIMITED","False","06/10/2021 00:00:00","02/02/2021 13:03:10"
"TRAFFORD HOUSING TRUST LIMITED","Sale Point, 126 - 150 Washway Road, Sale, Manchester, M33 6AG","04831118","68201","8.5","8.9","","","0.0","0.0","49.2","50.8","45.4","54.6","50.4","49.6","56.3","43.7","","George Whalley (People Director)","500 to 999","TRAFFORD HOUSING TRUST LIMITED","False","06/10/2021 00:00:00","17/02/2021 17:48:14"
"TRAINLINE.COM LIMITED","120 Holborn, London, United Kingdom, EC1N 2TD","03846791","62090","26.0","31.0","67.0","58.0","2.0","2.0","53.0","47.0","56.0","44.0","68.0","32.0","84.0","16.0","https://www.thetrainline.com/about-us/trainline-in-the-community/diversity-at-trainline","Clare Gilmartin (CEO)","500 to 999","TRAINLINE.COM LIMITED","False","06/10/2021 00:00:00","16/02/2021 09:13:53"
"TRAVERS SMITH EMPLOYMENT SERVICES","10 Snow Hill, London, EC1A 2AL","02932635","69102,
82990","15.7","40.4","19.3","50.5","77.3","88.5","38.5","61.5","30.9","69.1","52.8","47.2","46.6","53.4","https://www.traverssmith.com/media/6717/pay-gap-report-2020.pdf","Moira Slape (HR Director)","500 to 999","TRAVERS SMITH EMPLOYMENT SERVICES","False","06/10/2021 00:00:00","25/02/2021 17:33:51"
"TREND CONTROL SYSTEMS LIMITED","Honeywell House, Skimped Hill Lane, Bracknell, Berks, RG12 1EB","01664519","26110","24.7","41.4","21.3","83.2","75.8","62.1","55.1","44.9","82.4","17.6","92.6","7.4","87.0","13.0","https://www.honeywell.com/gb/en","Jennifer Dunn (Sr HR Director)","250 to 499","TREND CONTROL SYSTEMS LIMITED","False","06/10/2021 00:00:00","03/03/2021 13:56:11"
"TRIANGLE WHOLEFOODS COLLECTIVE LIMITED","Unit G15 lacy Way, Lowfields Business Park, Elland, HX5 9DB","IP21975R","","0.0","0.0","2.4","7.5","84.0","88.4","67.1","32.9","67.1","32.9","67.5","32.5","66.7","33.3","https://www.suma.coop/about/gender-pay-gap/","Nicola Roebuck (Services Compliance)","250 to 499","TRIANGLE WHOLEFOODS COLLECTIVE LIMITED","False","06/10/2021 00:00:00","17/12/2020 15:36:28"
"Trinity House","Trinity House, Tower Hill, London, EC3N 4DH","","","25.6","27.2","33.5","26.4","92.6","81.4","44.9","55.1","75.3","24.7","84.6","15.4","88.3","11.7","https://www.trinityhouse.co.uk/about-us/governance/board-and-audit-committee-documents","Antonius Damen (Director of Business Services)","250 to 499","Trinity House","False","06/10/2021 00:00:00","13/11/2020 11:00:25"
"TRIUMPH DESIGNS LIMITED","Ashby Road, Measham, Swadlincote, Derbyshire, DE12 7JP","01749908","30910","24.8","25.4","100.0","100.0","100.0","0.0","85.0","15.0","95.0","5.0","92.0","8.0","98.0","2.0","https://www.triumphmotorcycles.co.uk/global-content/gender-pay-gap-reporting","Adam Samples (CFO)","250 to 499","TRIUMPH DESIGNS LIMITED","False","06/10/2021 00:00:00","08/03/2021 13:48:11"
"TRIUMPH MOTORCYCLES LIMITED","Ashby Road, Measham, Swadlincote, Derbyshire, DE12 7JP","01735844","30910","28.6","15.2","63.0","30.7","34.2","4.8","74.0","26.0","81.0","19.0","86.0","14.0","90.0","10.0","https://www.triumphmotorcycles.co.uk/global-content/gender-pay-gap-reporting","Adam Samples (CFO)","250 to 499","TRIUMPH MOTORCYCLES LIMITED","False","06/10/2021 00:00:00","08/03/2021 13:49:47"
"TRUMPF LASER UK LIMITED","3 Wellington Park, Tollbar Way Hedge End, Southampton, SO30 2QU","03290610","26701","35.9","31.1","97.4","98.0","20.4","16.0","55.6","44.4","54.9","45.1","83.3","16.7","93.1","6.9","https://www.spilasers.com/","Graham Parsons (HR Director)","250 to 499","TRUMPF LASER UK LIMITED","False","06/10/2021 00:00:00","21/12/2020 09:25:59"
"Truro and Penwith College","College Road, Truro, TR1 3XX","","1,
85310","12.8","17.1","","","0.0","0.0","24.0","76.0","27.0","73.0","35.0","65.0","45.0","55.0","https://www.truro-penwith.ac.uk/downloads/Truro_and_Penwith_College_Gender_Pay_Gap_Report_2020.pdf","","1000 to 4999","Truro and Penwith College","False","06/10/2021 00:00:00","12/02/2021 09:09:46"
"TSB BANK PLC","Henry Duncan House, 120 George Street, Edinburgh, EH2 4LH","SC095237","64191","32.9","24","43.5","32.4","91.6","95.1","22","78","23","77","35","65","54","46","https://www.tsb.co.uk/media-centre/insights-and-views/gender-pay-gap-2020/","Ralph Coates (Chief Financial Officer)","5000 to 19,999","TSB BANK PLC","False","06/10/2021 00:00:00","29/01/2021 12:21:55"
"TUI AIRWAYS LIMITED","Wigmore House, Wigmore Lane, Luton, Bedfordshire, United Kingdom, LU2 9TN","00444359","51101","57.2","51.6","	-20.5","	-43.6","99.0","99.2","20.2","79.8","34.6","65.4","52.7","47.3","94.3","5.7","https://www.tuigroup.com/en-en/about-us/about-tui-group/our-business/sales-and-marketing","Julie Tindale (HRD)","1000 to 4999","TUI AIRWAYS LIMITED","False","06/10/2021 00:00:00","05/01/2021 11:05:25"
"TUI UK LIMITED","Wigmore House, Wigmore Lane, Luton, Bedfordshire, United Kingdom, LU2 9TN","02830117","79110","29.3","30.8","0.2","0","98.2","98.2","25.5","74.5","32.3","67.7","39.9","60.1","58.5","41.5","https://www.tuigroup.com/en-en/about-us/about-tui-group/our-business/sales-and-marketing","Julie Tindale (HRD)","1000 to 4999","TUI UK LIMITED","False","06/10/2021 00:00:00","05/01/2021 11:05:38"
"TUI UK RETAIL LIMITED","Wigmore House, Wigmore Lane, Luton, Bedfordshire, United Kingdom, LU2 9TN","01456086","79110","0.4","0.6","	-12.9","	-2.1","98.8","99.5","6.8","93.2","4.2","95.8","4.3","95.7","8.7","91.3","https://www.tuigroup.com/en-en/about-us/about-tui-group/our-business/sales-and-marketing","Julie Tindale (HRD)","1000 to 4999","TUI UK RETAIL LIMITED","False","06/10/2021 00:00:00","05/01/2021 11:03:06"
"TURBINE SURFACE TECHNOLOGIES LIMITED","Moor Lane, Derby, Derbyshire, DE24 8BJ","04040105","25610","12.4","11.1","19.1","12.6","92.3","94.7","63.5","36.5","80.4","19.6","82.6","17.4","87.8","12.2","https://www.tst-ltd.com/","Ruth Wattam (Head of Human Resources)","500 to 999","TURBINE SURFACE TECHNOLOGIES LIMITED","False","06/10/2021 00:00:00","24/02/2021 14:03:17"
"TWYNHAM LEARNING","Twynham School, Sopers Lane, Christchurch, Dorset, BH23 1JF","07565088","85200,
85310","17.2","34.4","","","0.0","0.0","24.1","75.9","17.0","83.0","31.1","68.9","36.3","63.7","https://www.twynhamlearning.com/469/gender-pay-gap?search=gender%20pay%20gap","","500 to 999","TWYNHAM LEARNING","False","06/10/2021 00:00:00","09/02/2021 15:18:40"
"TYMAN PLC","29 Queen Anne's Gate, London, SW1H 9BU","02806007","70100","3.9","4.0","39.0","56.0","16.0","30.0","61.0","39.0","70.0","30.0","65.0","35.0","74.0","26.0","https://www.tymanplc.com/application/files/3016/1484/2814/Tyman_Gender_Pay_Gap_Report_2020.pdf","Peter Ho (General Counsel & Company Secretary)","Less than 250","TYMAN PLC","False","06/10/2021 00:00:00","10/03/2021 09:33:02"
"Tyne & Wear Fire and Rescue Service","Service Headquarters, Nissan Way, Washington, Sunderland, SR5 3QY","","1,
84250","15.4","10.2","","","0","0","48","52","87","13","83","17","87","13","https://www.twfire.gov.uk/wp-content/uploads/2021/01/Annual-Equality-Data-and-Gender-Pay-Gap-Report-2019-2020.pdf","","500 to 999","Tyne & Wear Fire and Rescue Service","False","06/10/2021 00:00:00","25/01/2021 16:03:30"
"UBS AG","Aeschenvorstadt 1, 4051 Basel, Switzerland, Switzerland","FC021146","","41.1","38","59.6","67.5","96.2","97","42.6","57.4","60.4","39.6","76.3","23.7","79.9","20.1","https://www.ubs.com/uk/en/gender-pay-report.html","Sabine Keller-Busse (Group Executive Board member)","1000 to 4999","UBS AG","False","06/10/2021 00:00:00","05/03/2021 09:09:54"
"UBS BUSINESS SOLUTIONS AG","45 Bahnhofstrasse, Zurich, Switzerland, 8001","FC034139","","13.4","13.1","18.2","14.3","96.1","96.7","51.2","48.8","67.9","32.1","73.4","26.6","76.7","23.3","https://www.ubs.com/uk/en/gender-pay-report.html","Sabine Keller-Busse (Group Executive Board member)","1000 to 4999","UBS BUSINESS SOLUTIONS AG","False","06/10/2021 00:00:00","05/03/2021 09:10:12"
"UCC COFFEE UK LIMITED","2 Bradbourne Drive, Tilbrook, Milton Keynes, MK7 8AT","02159182","46900","	-13.0","12.6","	-85.2","	-5.4","17.1","29.4","54.0","46.0","78.0","22.0","88.7","11.3","74.0","26.0","","SIMON JAKES (Management Accountant)","250 to 499","UCC COFFEE UK LIMITED","False","06/10/2021 00:00:00","12/03/2021 11:43:55"
"UK Armed Forces","The Ministry of Defence, 6-N-10 MOD Main Building, Whitehall, London, SW1A 2HB","","1,
84220","1.2","0.8","15.2","3.5","24.5","25.6","88.3","11.7","89.5","10.5","89.3","10.7","89.4","10.6","https://www.gov.uk/government/publications/mod-gender-pay-gap-reports-2020","","20,000 or more","UK Armed Forces","False","06/10/2021 00:00:00","15/12/2020 14:01:08"
"UK SHARED BUSINESS SERVICES LIMITED","Polaris House, North Star Avenue, Swindon, England, SN2 1FF","06330639","72200","22.4","28.7","","","0","0","26.2","73.8","29","71","40.7","59.3","58.5","41.5","https://www.uksbs.co.uk/use/Documents/Gender%20Pay%20Gap%202019%202020.pdf","Fiona Cowles (Head of Human Resources)","500 to 999","UK SHARED BUSINESS SERVICES LIMITED","False","06/10/2021 00:00:00","11/03/2021 16:24:05"
"UK Statistics Authority","Government Buildings, Cardiff Road, Newport, NP10 8XG","","1,
84110","8.0","0.0","5.1","0.0","70.5","73.3","44.0","56.0","38.1","61.9","42.7","57.3","51.5","48.5","https://uksa.statisticsauthority.gov.uk/publication/uksa-gender-pay-gap-report-2020/","","1000 to 4999","UK Statistics Authority","False","06/10/2021 00:00:00","26/08/2020 13:00:46"
"UKTV MEDIA LIMITED","10 Hammersmith Grove, London, W6 7AP","04266373","60200","17.8","21.7","31.7","24.5","84.0","87.0","25.0","75.0","40.0","60.0","55.0","45.0","52.0","48.0","https://corporate.uktv.co.uk/gender-pay-reports/","Marcus Arthur (CEO)","250 to 499","UKTV MEDIA LIMITED","False","06/10/2021 00:00:00","30/11/2020 11:02:41"
"UNDERDOG GROUP LIMITED","Jacks Place, Unit B, 6 Corbet Place, London, England, E1 6NN","08542386","82990","2.0","3.2","31.3","33.3","2.6","2.2","64.0","36.0","72.0","28.0","68.0","32.0","57.0","43.0","","Alex McLauchlan (Finance Director)","250 to 499","UNDERDOG GROUP LIMITED","False","06/10/2021 00:00:00","23/02/2021 12:01:20"
"Unified Seevic Palmers College","Runnymeade Chase, Benfleet, Essex, SS7 1TW","","1,
85320","18.8","30.8","","","0.0","0.0","17.1","82.9","23.4","76.6","32.4","67.6","43.6","56.4","https://www.uspcollege.ac.uk/about-us/working-at-usp-college/gender-pay-gap-reporting/","","250 to 499","Unified Seevic Palmers College","False","06/10/2021 00:00:00","09/03/2021 11:29:07"
"UNISYS LIMITED","Enigma, Wavendon Business Park, Milton Keynes, England, MK17 8LX","00103709","62012","2.5","	-2.5","35.3","17.4","29.5","31.1","84.2","15.8","86.5","13.5","83.1","16.9","85.4","14.6","https://www.unisys.co.uk/aboutus/about-unisys-uk/gender-pay-data","Karen Webb (HR Director)","250 to 499","UNISYS LIMITED","False","06/10/2021 00:00:00","01/03/2021 09:47:32"
"UNITED RESPONSE","7th Floor - Knollys House, 17 Addiscombe Road, Croydon, London, England, CR0 6SR","01133776","96090","0.4","0.1","	-90.9","	-275.0","7.2","8.6","31.4","68.6","29.7","70.3","33.3","66.7","28.1","71.9","https://www.unitedresponse.org.uk/about/annual-reports/","Mark Ospedale (Director of Corporate Services)","1000 to 4999","UNITED RESPONSE","False","06/10/2021 00:00:00","20/01/2021 15:50:59"
"UNITED UTILITIES GROUP PLC","Haweswater House Lingley Mere Business Park, Lingley Green Avenue Great Sankey, Warrington, WA5 3LP","06559020","70100","10.7","15.3","32.4","14.4","93.2","94.7","50.6","49.4","66.7","33.3","78.6","21.4","69.9","30.1","https://www.unitedutilities.com/corporate/responsibility/employees/diversity/","Steve Mogford (Chief Executive)","5000 to 19,999","UNITED UTILITIES GROUP PLC","False","06/10/2021 00:00:00","04/02/2021 15:42:19"
"UNITED UTILITIES WATER LIMITED","Haweswater House, Lingley Mere Business Park, Lingley Green Avenue Great, Sankey, Warrington, WA5 3LP","02366678","36000","9.8","15.2","22.0","14.5","93.0","94.4","51.2","48.8","67.2","32.8","78.4","21.6","71.2","28.8","https://www.unitedutilities.com/corporate/responsibility/employees/diversity/","Steve Mogford (Chief Executive)","5000 to 19,999","UNITED UTILITIES WATER LIMITED","False","06/10/2021 00:00:00","04/02/2021 15:41:48"
"University Hospitals Of Morecambe Bay Nhs Foundation Trust","Westmorland General Hospital, Burton Road, Kendal, LA9 7RG","","1,
86210","29.3","7.9","41.0","33.3","5.3","0.5","15.3","84.7","18.5","81.5","13.7","86.3","28.6","71.4","https://www.uhmb.nhs.uk/our-trust/inclusion-and-diversity","","5000 to 19,999","University Hospitals Of Morecambe Bay Nhs Foundation Trust","False","06/10/2021 00:00:00","12/11/2020 16:08:17"
"UNIVERSITY OF BRADFORD(THE)","Richmond Road, Bradford, West Yorkshire, United Kingdom, BD7 1DP","RC000647","","16.7","20.2","	-5.7","	-25.0","6.3","8.1","33.0","67.0","35.4","64.6","47.2","52.8","55.8","44.2","","","1000 to 4999","UNIVERSITY OF BRADFORD(THE)","False","06/10/2021 00:00:00","09/03/2021 09:44:42"
"UNIVERSITY OF LEEDS","Woodhouse Lane, Leeds, West Yorkshire, United Kingdom, LS2 9JT","","1,
85421","18.5","13.6","82.7","25","7.4","7.6","34.2","65.8","40.5","59.5","44","56","59.9","40.1","","","5000 to 19,999","UNIVERSITY OF LEEDS","False","06/10/2021 00:00:00","10/12/2020 10:17:46"
"University of the Arts, London","272 High Holborn, London, London, United Kingdom, WC1V 7EY","","1,
85421","8.3","7.0","22.3","15.4","5.6","6.5","30.1","69.9","37.7","62.3","44.9","55.1","41.4","58.6","https://www.arts.ac.uk/about-ual/public-information/equality-objectives-and-reports","","5000 to 19,999","University of the Arts, London","False","06/10/2021 00:00:00","08/03/2021 08:30:55"
"Uttlesford District Council","Council Offices, London Road, Saffron Walden, Essex, United Kingdom, CB11 4ER","","1,
84110","0.6","	-1.7","","","0.0","0.0","60.0","40.0","40.0","60.0","31.0","69.0","59.0","41.0","","","250 to 499","Uttlesford District Council","False","06/10/2021 00:00:00","12/02/2021 11:51:21"
"Vale of Glamorgan Council","Civic Offices, Holton Road, Barry, CF63 4RU","","1,
84110","3.4","7.5","","","0.0","0.0","33.0","67.0","27.0","73.0","33.0","67.0","36.0","64.0","","","1000 to 4999","Vale of Glamorgan Council","False","06/10/2021 00:00:00","24/02/2021 08:39:26"
"VENTRUS LIMITED","Woodwater Academy, Woodwater Lane, Exeter, Devon, EX2 5AW","07821367","85200,
85310","20.8","34.5","","","0.0","0.0","11.0","89.0","11.0","89.0","20.7","79.3","28.7","71.3","https://www.ventrus.org.uk/our-people/statutory-documents/","","500 to 999","VENTRUS LIMITED","False","06/10/2021 00:00:00","28/01/2021 14:53:03"
"VERDANT LEISURE GROUP LIMITED","10 Mannin Way Lancaster Business Park, Lancaster, England, LA1 3SW","09966385","55201","	-5.0","	-28.0","30.0","53.0","21.0","8.0","82.0","18.0","73.0","27.0","73.0","27.0","50.0","50.0","https://www.verdantleisure.co.uk/careers/gender-pay-gap/","Bev Dixon (Commercial Director)","250 to 499","VERDANT LEISURE GROUP LIMITED","False","06/10/2021 00:00:00","12/03/2021 13:33:26"
"VERTAS GROUP LIMITED","Beacon House Landmark Business Park, White House Road, Ipswich, Suffolk, IP1 5PB","07728211","81100","7.5","	-3.3","92.4","30.5","2.0","0.9","43.0","57.0","30.0","70.0","10.0","90.0","32.0","68.0","https://www.vertas.co.uk/wp-content/uploads/2021/03/SF3466-Gender-Pay-Gap-Leaflet-2021.pdf","Kate Innes (Associate Director People)","1000 to 4999","VERTAS GROUP LIMITED","False","06/10/2021 00:00:00","04/03/2021 10:16:26"
"VIBE RECRUIT LIMITED","6 Cholswell Court, Shippon, Abingdon, Oxon, United Kingdom, OX13 6HX","11606364","70229","36.4","14.8","23.8","0.0","0.1","1.1","78.8","21.2","86.0","14.0","82.3","17.7","87.3","12.7","https://Viberecruit.com","Joyce Sutton (Finance Director)","500 to 999","VIBE RECRUIT LIMITED","False","06/10/2021 00:00:00","10/03/2021 16:48:21"
"VICTIM SUPPORT","1 Bridge Street, Derby, England, DE1 3HZ","02158780","88990","13.2","3.3","","","0.0","0.0","12.0","88.0","10.0","90.0","14.0","86.0","24.0","76.0","https://www.victimsupport.org.uk/more-us/about-us/equality-diversity-and-inclusion/gender-pay-gap-information","Tony Silcock (Director of Finance and People)","1000 to 4999","VICTIM SUPPORT","False","06/10/2021 00:00:00","10/03/2021 15:50:23"
"VICTREX MANUFACTURING LIMITED","Victrex Technology Centre, Hillhouse International, Thornton Cleveleys, Lancashire, FY5 4QD","02845018","20160","10.6","6.5","93.6","43.3","11.1","16.2","67.7","32.3","89.5","10.5","89.7","10.3","80.5","19.5","https://wp-victrexplc-2020.s3.eu-west-2.amazonaws.com/media/2020/10/23102325/Gender-Pay-Report-5-April-2020.pdf","Jakob Sigurdsson (Chief Executive Officer)","500 to 999","VICTREX MANUFACTURING LIMITED","False","06/10/2021 00:00:00","23/10/2020 12:35:11"
"VIGILANT SECURITY (SCOTLAND) LIMITED","1st Floor Left, 161 Brooms Road, Dumfries, Scotland, DG1 2SH","SC212151","80100","0.3","1.2","	-69.1","	-78.0","16.6","26.0","85.6","14.4","87.0","13.0","89.1","10.9","88.5","11.5","","Richard Juett (CFO)","500 to 999","VIGILANT SECURITY (SCOTLAND) LIMITED","False","06/10/2021 00:00:00","09/03/2021 07:39:17"
"VINES LIMITED","Vines House, Slyfield Green, Guildford, GU1 1RD","01849408","45111","24.1","9.3","48.9","47.3","78.0","64.3","69.2","30.8","74.7","25.3","80.4","19.6","85.9","14.1","https://www.vinesgroup.co.uk/site/gender-pay-gap-reports/","Elaine Farley (Group HR Manager)","250 to 499","VINES LIMITED","False","06/10/2021 00:00:00","09/02/2021 12:32:33"
"VINK UK LIMITED","Holmes House, 24-30 Baker Street, Weybridge, Surrey, KT13 8AU","01220776","46730","8.3","	-19.0","41.1","	-33.3","70.2","74.6","89.3","10.7","73.0","27.0","54.7","45.3","71.7","28.3","https://amariplastics.com","Robin Howard (Chief Financial Officer)","250 to 499","VINK UK LIMITED","False","06/10/2021 00:00:00","23/02/2021 15:37:38"
"Vision Academy Learning Trust","c/o Egglescliffe School, Urlay nook road, Eaglescliffe, TS16 0LA","","1","49.0","42.6","","","0.0","0.0","9.6","90.4","14.4","85.6","30.4","69.6","33.6","66.4","https://valt.org.uk/governance/gender-pay-gap-reporting/","","250 to 499","Vision Academy Learning Trust","False","06/10/2021 00:00:00","03/02/2021 13:46:54"
"VISION LABS LTD.","Forum 6 Parkway, Solent Business Park Whiteley, Fareham, PO15 7PA","02407981","47782","28.9","10.0","37.5","0.0","97.8","99.4","50.0","50.0","50.0","50.0","48.0","52.0","71.0","29.0","https://content.specsavers.com/about_us/Specavers+UK+gender+pay+gap+report+2020.pdf","Tim Fevyer (Director of Reward & Policy)","250 to 499","VISION LABS LTD.","False","06/10/2021 00:00:00","09/12/2020 10:36:47"
"VITA CELLULAR FOAMS (UK) LIMITED","Oldham Road, Middleton, Manchester, M24 2DB","00621497","20160","9.1","14.4","22.6","61.0","71.4","55.8","63.0","37.0","83.6","16.4","87.8","12.2","84.1","15.9","","Dave Kowal (HR Director)","500 to 999","VITA CELLULAR FOAMS (UK) LIMITED","False","06/10/2021 00:00:00","14/12/2020 11:28:49"
"VIVID HOUSING LIMITED","HR Department, Peninsular House, Wharf Rd, Portsmouth, PO2 8HB","RS007544","","3.8","1.2","35.2","22.8","87.0","72.2","48.3","51.7","60.7","39.3","55.2","44.8","56.9","43.1","https://www.vividhomes.co.uk/media/2600/vivid-gpg-report-2020.pdf?1599231186","Duncan Short (Director of Resources)","500 to 999","VIVID HOUSING LIMITED","False","06/10/2021 00:00:00","04/09/2020 15:06:39"
"VIVO CARE CHOICES LIMITED","Lightfoot Lodge Lightfoot Street, Hoole, Chester, Cheshire, CH2 3AD","08524353","88100","4.8","2.9","","","0.0","0.0","17.5","82.5","19.0","81.0","12.6","87.4","10.2","89.8","https://vivocarechoices.co.uk/wp-content/uploads/2020/11/Gender-Pay-Gap-Report-2020.pdf","Gary Hyde (Director of Corporate Services)","500 to 999","VIVO CARE CHOICES LIMITED","False","06/10/2021 00:00:00","16/02/2021 13:38:23"
"VODAFONE GLOBAL ENTERPRISE LIMITED","Vodafone House, The Connection, Newbury, Berkshire, RG14 2FN","02844851","61900","17.5","17.1","30.6","16.6","95.3","94.2","56.7","43.3","62.3","37.7","76.0","24.0","74.3","25.7","https://www.vodafone.com/our-purpose/reporting-centre/uk-gender-pay-gap","Nick Read (Group CEO)","1000 to 4999","VODAFONE GLOBAL ENTERPRISE LIMITED","False","06/10/2021 00:00:00","19/02/2021 09:02:09"
