"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"SRCL LIMITED","17114","Indigo House, Sussex Avenue, Leeds, West Yorkshire, LS10 2LF","LS10 2LF","03226910","82990","-18.8","-8.6","-54.5","-28","1.2","5.8","91.1","8.9","85.6","14.4","84.8","15.2","78.9","21.1","https://www.stericycle.co.uk/","Alison Saunt (HR Director)","1000 to 4999","SRCL LIMITED","False","2023/04/05 00:00:00","2023/01/13 10:28:31"
"SSE AIRTRICITY ENERGY SUPPLY (NI) LIMITED","21577","Millennium House, 25 Great Victoria Street, Belfast, Northern Ireland, BT2 7AQ","BT2 7AQ","NI041956","35110","-1.4","3.9","2.4","-75.8","39.1","34.7","68.0","32.0","58.6","41.4","78.8","21.2","64.2","35.8","","Alistair Phillips-Davies (Chief Executive)","250 to 499","SSE AIRTRICITY ENERGY SUPPLY (NI) LIMITED","False","2023/04/05 00:00:00","2022/11/10 16:45:30"
"SSE ENERGY SUPPLY LIMITED","473","No.1 Forbury Place, 43 Forbury Road, Reading, United Kingdom, RG1 3JH","RG1 3JH","03757502","82990","24.4","8.0","87.0","32.2","44.0","33.2","48.9","51.1","44.8","55.2","48.9","51.1","69.7","30.3","","Alistair Phillips-Davies (Chief Executive)","500 to 999","SSE ENERGY SUPPLY LIMITED","False","2023/04/05 00:00:00","2022/11/09 15:55:01"
"SSE PLC","393","Inveralmond House, 200 Dunkeld Road, Perth, Perthshire, PH1 3AQ","PH1 3AQ","SC117119","70100","13.2","18.0","45.9","17.6","32.4","27.7","57.8","42.2","71.2","28.8","78.0","22.0","81.8","18.2","","Alistair Phillips-Davies (Chief Executive)","5000 to 19,999","SSE PLC","False","2023/04/05 00:00:00","2022/11/09 16:06:10"
"SSE RENEWABLES LIMITED","18318","Inveralmond House, 200 Dunkeld Road, Perth, PH1 3AQ","PH1 3AQ","SC435847","64202","15.3","13.0","44.5","6.7","67.7","51.9","70.2","29.8","74.1","25.9","79.1","20.9","86.7","13.3","","Alistair Phillips-Davies (Chief Executive)","1000 to 4999","SSE RENEWABLES LIMITED","False","2023/04/05 00:00:00","2022/11/09 17:05:32"
"SSE SERVICES PLC","469","No.1 Forbury Place, 43 Forbury Road, Reading, United Kingdom, RG1 3JH","RG1 3JH","02366879","82990","22.8","21.6","58.7","28.8","38.4","33.8","33.2","66.8","51.2","48.8","59.1","40.9","68.5","31.5","","Alistair Phillips-Davies (Chief Executive)","1000 to 4999","SSE SERVICES PLC","False","2023/04/05 00:00:00","2022/11/09 17:09:41"
"SSE UTILITY SOLUTIONS LIMITED","21576","No.1 Forbury Place, 43 Forbury Road, Reading, United Kingdom, RG1 3JH","RG1 3JH","06894120","35130,
35220,
61900","29.7","30.6","54.9","18.1","47.2","25.5","46.2","53.8","71.2","28.8","77.2","22.8","88.8","11.2","","Alistair Phillips-Davies (Chief Executive)","250 to 499","SSE UTILITY SOLUTIONS LIMITED","False","2023/04/05 00:00:00","2022/11/10 16:00:35"
"ST ANDREW'S HEALTHCARE","11538","St Andrew's Healthcare, Billing Road, Northampton, England, NN1 5DG","NN1 5DG","05176998","87200","12.2","2.7","","","0","0","30.7","69.3","37.6","62.4","38.8","61.2","38.3","61.7","","Vivienne McVey (Chief Executive Officer)","1000 to 4999","ST ANDREW'S HEALTHCARE","False","2023/04/05 00:00:00","2022/12/12 09:48:34"
"St Bartholomew's School","275","Andover Road, Newbury, RG14 6JP","RG14 6JP","","1,
85310","13.4","24.6","","","0","0","19.7","80.3","33.3","66.7","37.9","62.1","36.4","63.6","https://www.stbarts.co.uk/wp-content/uploads/2022/06/Gender-Pay-Gap-310322.pdf","","250 to 499","St Bartholomew's School","False","2023/03/31 00:00:00","2022/06/29 11:55:35"
"ST CHAD'S ACADEMIES TRUST","11547","C/O Birchills Ce Community Academy, Farringdon Street, Walsall, West Midlands, England, WS2 8NF","WS2 8NF","08526973","85600,
94910","23.3","32.8","2.9","0.0","3.3","1.1","5.8","94.2","9","91","14.2","85.8","18.4","81.6","https://www.stchadsacademiestrust.co.uk/governance-policy/gender-pay-gap/","","1000 to 4999","ST CHAD'S ACADEMIES TRUST","False","2023/03/31 00:00:00","2022/09/08 14:54:19"
"ST CUTHBERT'S CARE","360","St Cuthbert's House, West Road, Newcastle Upon Tyne, England, NE15 7PY","NE15 7PY","01645917","87100,
87200,
87900,
88990","5.5","5.8","","","0","0","6","94","11","89","30","70","20","80","","Nicholas Gilbert (Director of Finance & IT)","250 to 499","ST CUTHBERT'S CARE","False","2023/04/05 00:00:00","2022/05/30 12:06:20"
"ST CUTHBERT'S ROMAN CATHOLIC ACADEMY TRUST","16786","St Mary's College, Cranbrook Avenue, Hull, East Riding Of Yorkshire, England, HU6 7TN","HU6 7TN","09023802","85200,
85310","15.3","14.9","","","0","0","14.5","85.5","16","84","17.6","82.4","31.3","68.7","","","500 to 999","ST CUTHBERT'S ROMAN CATHOLIC ACADEMY TRUST","False","2023/03/31 00:00:00","2022/06/14 12:04:10"
"ST MARY'S SCHOOL ASCOT","15717","St Marys School Ascot, St Marys, Road, Ascot, Berkshire, SL5 9JF","SL5 9JF","01844327","85310","8.1","8.8","","","0","0","24.2","75.8","20.9","79.1","28.8","71.2","28.4","71.6","https://www.st-marys-ascot.co.uk/gender-pay-gap-report-2017/","Ian McShee (Finance Manager)","250 to 499","ST MARY'S SCHOOL ASCOT","False","2023/04/05 00:00:00","2022/06/01 13:03:14"
"St Paul's Catholic School","11583","Phoenix Drive, Leadenhall, Milton Keynes, Buckinghamshire, United Kingdom, MK6 5EN","MK6 5EN","","1,
85310","17.8","37.5","","","0","0","8","92","17.2","82.8","29.9","70.1","33.7","66.3","https://www.st-pauls.org.uk/downloads/policies/gender-pay-gap-report.pdf","","250 to 499","St Paul's Catholic School","False","2023/03/31 00:00:00","2022/12/08 15:12:10"
"ST PHILIPS CARE CALEDONIA LIMITED","11588","PLANT & CO LTD, 17 Lichfield Street, Stone, Staffordshire, ST15 8NA","ST15 8NA","07013330","87100,
87300","4","2.9","-4.6","0","92.6","97","14.4","85.6","10.8","89.2","22.3","77.7","15.5","84.5","https://www.stphilipscare.com/gender-pay-gap-report-2020-21/","Paul Farmer (CEO)","1000 to 4999","ST PHILIPS CARE CALEDONIA LIMITED","False","2023/04/05 00:00:00","2022/11/24 14:42:27"
"ST. JOHN AMBULANCE","11602","St John's Gate, St. John's Lane, London, England, EC1M 4DA","EC1M 4DA","03866129","86900","5.5","1.3","70","52.1","13.3","11.2","45","55","50","50","48","52","50","50","https://stjohn.sharepoint.com/sites/c-news/SitePages/Gender-Pay-Gap-report-shows-positive-progress.aspx","Michelle Robertson (Payroll & People Transaction Team Leader)","1000 to 4999","ST. JOHN AMBULANCE","False","2023/04/05 00:00:00","2022/10/27 14:55:06"
"ST&H LIMITED","11592","Enbrook Park, Sandgate, Folkestone, Kent, CT20 3SE","CT20 3SE","02174052","96090","1.1","-2.9","35.7","29.6","25.9","60.0","38.5","61.5","81.0","19.0","53.4","46.6","49.6","50.4","https://www.saga.co.uk/gender-pay-review","Jane Storm (Chief People Officer)","500 to 999","ST&H LIMITED","False","2023/04/05 00:00:00","2022/10/05 10:31:58"
"STADIUM TRAFFIC MANAGEMENT LIMITED","11620","Unit 5 Bodmin Road, Coventry, West Midlands, England, CV2 5DB","CV2 5DB","07099264","93110","7.1","0.9","","","0","0","84.5","15.5","81.3","18.7","77.3","22.7","70.1","29.9","http://www.wearestadium.com","Jemma Baillie (International Director)","250 to 499","STADIUM TRAFFIC MANAGEMENT LIMITED","False","2023/04/05 00:00:00","2022/08/10 11:07:59"
"STADLER RAIL SERVICE UK LIMITED","21203","1 Mann Island (8th Floor), Liverpool, Merseyside, England, L3 1BP","L3 1BP","09894948","33170,
71129","35.7","45.8","58.90","50","98.40","45.80","76.47","23.53","94.17","5.83","98.04","1.96","98.04","1.96","","Natalie Whittler (Payroll Manager)","250 to 499","STADLER RAIL SERVICE UK LIMITED","False","2023/04/05 00:00:00","2022/11/16 11:55:48"
"Stafford Borough Council","11626","Civic Centre, Riverside, Stafford, Staffordshire, United Kingdom, ST16 3AQ","ST16 3AQ","","1,
84110","2.95","-3.94","","","0","0","50","50","50.90","49.10","49.10","50.90","47.28","52.72","https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Policy%20and%20Plans/Gender-Pay-Gap-Report-March-2022_0.pdf","","Less than 250","Stafford Borough Council","False","2023/03/31 00:00:00","2023/01/26 13:46:43"
"Staffordshire Fire & Rescue Services","11630","Pirehill House, Pirehill, Stone, Staffordshire, ST15 0BS","ST15 0BS","","1,
84250","7.76","1.89","","","0","0","70","30","82","18","89","11","82","18","","","500 to 999","Staffordshire Fire & Rescue Services","False","2023/03/31 00:00:00","2023/01/30 17:07:17"
"STAFFORDSHIRE UNIVERSITY ACADEMIES TRUST","18465","Ashley 2 Building Leek Road, Staffordshire University, Stoke-On-Trent, England, ST4 2DF","ST4 2DF","07704020","85200,
85310","24.05","46.92","","","0","0","8.11","91.89","15.32","84.68","13.51","86.49","13.64","86.36","","","500 to 999","STAFFORDSHIRE UNIVERSITY ACADEMIES TRUST","False","2023/03/31 00:00:00","2023/01/30 15:26:05"
"STAN ROBINSON (STAFFORD) LIMITED","11641","Stan Robinson Ladford Fields, Seighford, Stafford, ST18 7QE","ST18 7QE","02607362","49410","-2.38","-4.06","34.22","29.54","97","93","89","11","96","4","96","4","93","7","https://www.stanrobinson.com/gender-pay","Pauline Wilson (Director)","250 to 499","STAN ROBINSON (STAFFORD) LIMITED","False","2023/04/05 00:00:00","2023/01/25 12:28:09"
"STAR OUTICO LIMITED","20770","11 Davy Court, Castle Mound Way, Central Park, Rugby, Warwickshire, United Kingdom, CV23 0UZ","CV23 0UZ","05770769","78109","-3.2","-23.9","10.8","38.6","45","51","46","54","63.5","36.5","42.3","57.7","38.8","61.2","","Marie Entwistle (HR Business Partner)","1000 to 4999","STAR OUTICO LIMITED","False","2023/04/05 00:00:00","2022/04/05 15:52:45"
"STAR REFRIGERATION LIMITED","11665","Block 3, Units 1,2,3 & 4, Thornliebank Industrial Estate, Glasgow, G46 8JW","G46 8JW","SC048005","28250","38.9","44.8","36","40.9","89.7","92.6","57","43","87.5","12.5","95.5","4.5","97.7","2.3","https://www.star-ref.co.uk/home-page/about-us/gender-pay-gap-reporting-and-equality/","Andrew Pearson (Group Managing Director)","250 to 499","STAR REFRIGERATION LIMITED","False","2023/04/05 00:00:00","2023/01/06 11:10:59"
"STATESIDE FOODS LIMITED","11672","Direct House Lancaster Way, Westhoughton, Bolton, England, BL5 3XY","BL5 3XY","02431656","10890","12.07","6.50","77.32","8.33","2.41","1.76","50.37","49.63","75","25","76.38","23.62","73.06","26.94","","DEBORAH LEECH-SEDDON (HR Manager)","1000 to 4999","STATESIDE FOODS LIMITED","False","2023/04/05 00:00:00","2023/01/23 14:57:47"
"STEADFAST CLEANING COMPANY LIMITED","18163","Unit 7 Target Business Centre, Bircholt Road, Park Wood, Maidstone Kent, ME15 9YY","ME15 9YY","01741651","81210","3","-2","","","0","0","30","70","29","71","29","71","37","63","http://steadfastcleaning.co.uk","Robert Humphrey (Director)","250 to 499","STEADFAST CLEANING COMPANY LIMITED","False","2023/04/05 00:00:00","2022/12/12 14:27:34"
"STEER DAVIES & GLEAVE LIMITED","11683","14-21 Rushworth Street, London, England, SE1 0RB","SE1 0RB","01883830","74909","5.8","11.7","-14.4","8.9","72.7","70.5","60.0","40.0","60.0","40.0","70.9","29.1","63.6","36.4","https://uk.steergroup.com/about/social-impact/supporting-equality-diversity-inclusion","Sharon Daly (COO)","250 to 499","STEER DAVIES & GLEAVE LIMITED","False","2023/04/05 00:00:00","2022/12/28 14:25:18"
"STELRAD LIMITED","11689","69-75 Side, Newcastle Upon Tyne, Tyne And Wear, NE1 3JE","NE1 3JE","02263368","25210","-1.7","3.9","-22.2","0","12","12.1","69","31","96","4","83","17","83","17","https://www.stelrad.com/about-us/gender-pay-report/","Leigh Wilcox (Company Secretary)","Less than 250","STELRAD LIMITED","False","2023/04/05 00:00:00","2022/10/26 19:30:40"
"STEP ACADEMY TRUST","11694","Gonville Road, Thornton Heath, Surrey, CR7 6DL","CR7 6DL","07612865","85200","23.1","22.9","","","0","0","9","91","10","90","19","81","23","77","","","1000 to 4999","STEP ACADEMY TRUST","False","2023/03/31 00:00:00","2022/12/07 12:40:34"
"STEPHENSON HARWOOD SERVICES LIMITED","11698","1 Finsbury Circus, London, EC2M 7SH","EC2M 7SH","02900722","69102","21.6","40.9","33.1","39.4","57.5","49.9","14.4","85.6","42.4","57.6","48.0","52.0","52.4","47.6","https://www.shlegal.com/docs/default-source/about-us/bd1161-uk-diversity-pay-2022_final.pdf?sfvrsn=32c3f95b_0","Jeff Marlow (Chief people and talent officer)","250 to 499","STEPHENSON HARWOOD SERVICES LIMITED","False","2023/04/05 00:00:00","2023/01/11 15:56:30"
"STOELZLE FLACONNAGE LIMITED","79","Weeland Road, Knottingley, West Yorkshire, WF11 8AP","WF11 8AP","02973822","23130","16","12","38.7","14","8","11","63","37","78","22","87","13","89","11","https://www.stoelzle.com/stf/","Richard Taylor (HR Manager)","250 to 499","STOELZLE FLACONNAGE LIMITED","False","2023/04/05 00:00:00","2022/04/05 08:33:27"
"STOUR VALE ACADEMY TRUST","18538","C/O Halesowen College, Whittingham Road, Halesowen, West Midlands, England, B63 3NA","B63 3NA","07865663","85200,
85310","21.7","31.5","","","0","0","10.3","89.7","20.6","79.4","23.4","76.6","34.3","65.7","https://www.svat.org.uk/","","500 to 999","STOUR VALE ACADEMY TRUST","False","2023/03/31 00:00:00","2022/04/01 15:45:20"
"Stratford-On-Avon District Council","11754","Elizabeth House, Church Street, Stratford-Upon-Avon, Warwickshire, United Kingdom, CV37 6HX","CV37 6HX","","1,
84110","24.3","21.5","","","0","0","25.7","74.3","32.9","67.1","35.7","64.3","60.9","39.1","https://www.stratford.gov.uk/council-democracy/gender-pay-reporting.cfm","","250 to 499","Stratford-On-Avon District Council","False","2023/03/31 00:00:00","2022/12/12 13:42:11"
"STUDIO RETAIL LIMITED","4847","Church Bridge House, Henry Street, Accrington, United Kingdom, BB5 4EE","BB5 4EE","00718151","47910","1.5","-1.6","","","0","0","48.1","51.9","58.8","41.2","52.9","47.1","51.4","48.6","","Collette King (HR Director)","1000 to 4999","STUDIO RETAIL LIMITED","False","2023/04/05 00:00:00","2022/08/16 10:39:43"
"SUFFOLK MIND","19765","26 High Road West, Felixstowe, England, IP11 9JB","IP11 9JB","02611510","86900,
87900","9.2","6.8","13.5","17","70","89","12.5","87.5","24","76","20","80","20","80","","Rachel Baker (Management Accountant)","Less than 250","SUFFOLK MIND","False","2023/04/05 00:00:00","2022/06/13 16:31:41"
"SUFFOLK'S LIBRARIES IPS LIMITED","15133","Northgate Street, Ipswich, IP1 3DE","IP1 3DE","IP031542","","13.80","9.9","","","0","5","15","85","6","94","25","75","25","75","https://www.suffolklibraries.co.uk/about/legal-information/gender-pay-gap","Bruce Leeke (CEO)","250 to 499","SUFFOLK'S LIBRARIES IPS LIMITED","False","2023/04/05 00:00:00","2023/01/19 09:49:03"
"Summit Learning Trust","16137","Ninestiles School, Hartfield Crescent, Birmingham, United Kingdom, B27 7QG","B27 7QG","","1,
85310","18.2","27.0","1","1","0.9","0.3","14","86","21","79","27","73","41","59","","","500 to 999","Summit Learning Trust","False","2023/03/31 00:00:00","2022/11/07 15:03:49"
"SUN CHEMICAL LIMITED","11805","3 High View Road, South Normanton, Derbyshire, DE55 2DT","DE55 2DT","02647054","20301,
20302,
82990","13.4","4.1","42.5","29.8","31.6","27.3","83.2","16.8","81.9","18.1","82.6","17.4","76.8","23.2","https://www.sunchemical.com/regions/europe/gender-pay-gap-sun-chemical-uk/","ANNETTE KERWIN (Head Of HR)","500 to 999","SUN CHEMICAL LIMITED","False","2023/04/05 00:00:00","2022/06/24 16:14:09"
"Surrey & Sussex Healthcare N H S Trust","11832","Canada Avenue, Redhill, Surrey, RH1 5RH","RH1 5RH","","1,
86210","17.5","3.7","41.0","33.3","4.5","0.7","24.0","76.0","25.9","74.1","19.8","80.2","33.4","66.6","https://www.surreyandsussex.nhs.uk/application/files/9016/4846/2111/4.5_Gender_pay_gap_report_2021_V4.pdf","","1000 to 4999","Surrey & Sussex Healthcare N H S Trust","False","2023/03/31 00:00:00","2022/03/31 13:09:31"
"Surrey and Borders Partnership NHS Foundation Trust","17250","18 Mole Business Park, Leatherhead, KT22 7AD","KT22 7AD","","1,
86210","3.66","3.31","61.94","-36.59","3.72","1.38","22.19","77.81","20.22","79.78","20.08","79.92","31.71","68.29","https://www.sabp.nhs.uk/aboutus/equality-and-human-rights","","1000 to 4999","Surrey and Borders Partnership NHS Foundation Trust","False","2023/03/31 00:00:00","2023/01/30 11:09:54"
"Sussex Community NHS Foundation Trust","11847","Brighton General Hospital, Elm Grove, Brighton, BN2 3EW","BN2 3EW","","1,
86210","7.4","-0.4","3.7","-75.0","0.5","0.1","16","84","15.8","84.2","12.2","87.8","19.2","80.8","https://www.sussexcommunity.nhs.uk/about-us/trust-strategies-reports-and-plans.htm","","5000 to 19,999","Sussex Community NHS Foundation Trust","False","2023/03/31 00:00:00","2023/01/25 07:40:40"
"Sussex Partnership Nhs Foundation Trust","11849","Swandean, Arundel Road, Worthing, BN13 3EP","BN13 3EP","","1,
86210","10.3","6.1","50.2","71.7","1.2","0.75","21","79","27","73","25","75","31","69","","","5000 to 19,999","Sussex Partnership Nhs Foundation Trust","False","2023/03/31 00:00:00","2023/01/30 08:04:55"
"SVITZER MARINE LIMITED","11857","Tees Wharf, Dockside Road, Middlesbrough, TS3 6AB","TS3 6AB","00069494","50200,
52220","25.21","36.97","-87.21","-203.33","96.29","90.24","80.77","19.23","87.50","12.50","96.15","3.85","96.19","3.81","","David Noakes (Company Secretary)","250 to 499","SVITZER MARINE LIMITED","False","2023/04/05 00:00:00","2022/12/12 11:03:35"
"Swale Borough Council","11859","Swale House, East Street, Sittingbourne, Kent, United Kingdom, ME10 3HT","ME10 3HT","","1,
84110","14.5","16.7","36.5","20.0","3.8","2.7","21.3","78.7","17.1","82.9","28.9","71.1","36.8","63.2","","","250 to 499","Swale Borough Council","False","2023/03/31 00:00:00","2022/08/30 13:30:30"
"SWANN-MORTON LIMITED","11869","Owlerton Green, Sheffield, S6 2BJ","S6 2BJ","00696744","32500","29.7","23.6","29.7","23.6","100","100","29.6","70.4","15.3","84.7","58.2","41.8","74","26","https://www.swann-morton.com/pages/gender_pay.php","Catherine Briggs (Human Resources Manager)","250 to 499","SWANN-MORTON LIMITED","False","2023/04/05 00:00:00","2022/09/22 12:12:21"
"SWIFT GROUP LIMITED","11888","Dunswell Road, Cottingham, East Yorkshire, HU16 4JX","HU16 4JX","00832994","29203","6","14","","","0","0","83.0","17","90.7","9.3","93.2","6.8","92.3","7.7","https://www.swiftgroup.co.uk/legal-info/gender-pay-gap/","James Turner (Chief Executive Officer)","1000 to 4999","SWIFT GROUP LIMITED","False","2023/04/05 00:00:00","2022/12/07 16:34:33"
"SWIFT OFFICE CLEANING SERVICES LTD","11890","Suite D, The Business Centre, Faringdon Avenue, Romford, Essex, RM3 8EN","RM3 8EN","04595752","81299","1.67","0","-1.44","-1.42","3","1","29.70","70.30","29.7","70.30","29","71","29","71","","Victoria Nundloll (Finance Manager)","250 to 499","SWIFT OFFICE CLEANING SERVICES LTD","False","2023/04/05 00:00:00","2022/12/16 10:49:15"
"SWITCH MOBILITY LIMITED","9386","Unit 3 Hurricane Way South, Sherburn In Elmet, Leeds, North Yorkshire, LS25 6PT","LS25 6PT","01818255","29100","6.3","13.4","","","0","0","77","23","87","13","89","11","84","16","https://www.switchmobility.tech/en/gender-pay-gap-reporting","Natalie Wood (Chief Human Resource Officer)","250 to 499","SWITCH MOBILITY LIMITED","False","2023/04/05 00:00:00","2022/10/14 08:26:25"
"SWORD IT SOLUTIONS LIMITED","21565","Staines One, Station Approach, Staines-Upon-Thames, England, TW18 4LY","TW18 4LY","03165591","62020,
62090,
70229","3.2","-1.79","50.23","0","15.16","18.80","70.53","29.47","67.37","32.63","63.16","36.84","69.79","30.21","","Philip Norgate (Chief Financial Officer)","250 to 499","SWORD IT SOLUTIONS LIMITED","False","2023/04/05 00:00:00","2022/12/16 12:57:28"
"SYMPHONY LEARNING TRUST","14579","Glen Hills Primary School Featherby Drive, Glen Parva, Leicester, Leicestershire, LE2 9NY","LE2 9NY","07941899","85200","14.79","41.99","","","0","0","2.24","97.76","0.75","99.25","8.21","91.79","14.92","85.08","https://www.symphonylearningtrust.co.uk/legal-documentation","","250 to 499","SYMPHONY LEARNING TRUST","False","2023/03/31 00:00:00","2022/12/12 10:24:27"
"SYNERGY MULTI ACADEMY TRUST","18735","Reepham High School And College Whitwell Road, Reepham, Norwich, NR10 4JT","NR10 4JT","08198980","85200,
85310","21.1","33.1","","","0","0","17.2","82.8","15.6","84.4","29.5","70.5","33.8","66.2","","","500 to 999","SYNERGY MULTI ACADEMY TRUST","False","2023/03/31 00:00:00","2022/11/29 17:36:16"
"SYNTEL EUROPE LIMITED","11928","Second Floor Midcity Place, 71 High Holborn, London, England, WC1V 6EA","WC1V 6EA","03227061","62090","13","14.2","56.8","52.4","54","43","88","12","83","17","89","11","69","31","","Aakanksha Priya (Specialist)","500 to 999","SYNTEL EUROPE LIMITED","False","2023/04/05 00:00:00","2023/01/10 06:28:51"
"T C Bibby and Sons","17543","york street, wigan, WN34BY","WN34BY","","81210,
81221,
81222","-0.8","0","","","0","0","14.6","85.4","12.3","87.7","13.4","86.6","22.2","77.8","","Kelly Bibby (Finance & HR Manager)","250 to 499","T C Bibby and Sons","False","2023/04/05 00:00:00","2022/12/30 12:59:13"
"T.G. HOLDCROFT (HOLDINGS) LIMITED","11953","Leek Road, Hanley, Stoke-On-Trent, ST1 6AT","ST1 6AT","08734338","64209","9.42","4.55","64.12","32.83","85.6","61.4","77.9","22.1","67.1","32.9","73.6","26.4","84.6","15.4","https://www.holdcroft.com/corporate-responsibility","Darren Holdcroft (Managing Director)","500 to 999","T.G. HOLDCROFT (HOLDINGS) LIMITED","False","2023/04/05 00:00:00","2023/01/09 13:27:19"
"T.R. FASTENINGS LIMITED","11960","Trifast House, Bellbrook Park, Uckfield, East Sussex, TN22 1QW","TN22 1QW","01103675","25940","1.0","-5.0","0.00","0.00","96","93","88","12","52","48","58","42","68","32","","Mark Belton (CEO)","250 to 499","T.R. FASTENINGS LIMITED","False","2023/04/05 00:00:00","2023/01/16 08:23:10"
"Tamworth Borough Council","14111","Marmion House, Lichfield Street, B79 7BZ","B79 7BZ","","1,
84110","5.96","5.3","","","0","0","25.32","74.68","45.56","54.44","31.25","68.75","41.57","58.43","","","250 to 499","Tamworth Borough Council","False","2023/03/31 00:00:00","2022/12/14 16:28:19"
"TAMWORTH CO-OPERATIVE SOCIETY LIMITED","14306","5 Colehill, Tamworth, B79 7HA","B79 7HA","IP02582R","","27.42","2.81","100","100","5.5","0","15","85","15","85","14","86","32","68","http://www.tamworth.coop","Andy Richardson (Deputy CEO)","250 to 499","TAMWORTH CO-OPERATIVE SOCIETY LIMITED","False","2023/04/05 00:00:00","2022/11/04 11:02:53"
"TAPTON SCHOOL ACADEMY TRUST","11999","Tapton School, Darwin Lane, Sheffield, South Yorkshire, S10 5RG","S10 5RG","07697171","85100,
85200,
85310","13","22","","","0","0","22","78","22","78","30","70","35","65","https://www.taptontrust.org.uk/","","500 to 999","TAPTON SCHOOL ACADEMY TRUST","False","2023/03/31 00:00:00","2022/12/15 16:06:26"
"TARGET GROUP LIMITED","12002","Target House, 5-19 Cowbridge Road East, Castlebridge, Cardiff, CF11 9AU","CF11 9AU","01208137","62012","22.72","8.00","72.39","97.14","8.65","5.01","38.46","61.54","41.76","58.24","49.08","50.92","65.81","34.19","https://www.targetgroup.com/gender-pay-gap-report-2022/","Matthew Davies (Chief People Officer)","1000 to 4999","TARGET GROUP LIMITED","False","2023/04/05 00:00:00","2023/01/31 12:41:12"
"TAUNTON SCHOOL EDUCATIONAL CHARITY","19076","Taunton School, Staplegrove Road, Taunton, Somerset, TA2 6AD","TA2 6AD","04005803","85100,
85200,
85310","15.6","24","76.9","33.3","3.6","2","30.65","69.35","37.1","62.9","39.52","60.48","48.78","51.22","https://www.tauntonschool.co.uk/about/policies/","Nicola Miller (Chief Operating Officer)","500 to 999","TAUNTON SCHOOL EDUCATIONAL CHARITY","False","2023/04/05 00:00:00","2023/01/17 16:19:38"
"Tavistock And Portman Nhs Foundation Trust","12036","120 Belsize Lane, London, NW3 5BA","NW3 5BA","","1,
86210","8.93","0.00","-78.69","-68.15","1.87","0.79","25.74","74.26","23.04","76.96","19.73","80.27","32.06","67.94","","","500 to 999","Tavistock And Portman Nhs Foundation Trust","False","2023/03/31 00:00:00","2023/01/13 11:36:58"
"TC FACILITIES MANAGEMENT LIMITED","12047","Sapphire House, 74-76 Walton Street, Walton On The Hill Tadworth, Surrey, KT20 7RU","KT20 7RU","02567667","81210","3.8","0","40.8","0","3.3","2.6","49.6","50.4","43.4","56.6","45.4","54.6","53.8","46.2","https://www.tcfm.co.uk?downloads=Mjk3OTI=","PAULA BYRNE (HR TRANSFORMATION DIRECTOR)","5000 to 19,999","TC FACILITIES MANAGEMENT LIMITED","False","2023/04/05 00:00:00","2022/12/07 10:32:34"
"TC SECURITY SERVICES LIMITED","21545","Sapphire House 74-76 Walton Street, Walton On The Hill, Tadworth, Surrey, KT20 7RU","KT20 7RU","03562343","80100","4.5","0.4","7.9","62.5","7.9","62.5","95.4","4.6","89.2","10.8","89.4","10.6","86.4","13.6","https://www.tcfm.co.uk?downloads=Mjk3OTM=","PAULA BYRNE (HR TRANSFORMATION DIRECTOR)","250 to 499","TC SECURITY SERVICES LIMITED","False","2023/04/05 00:00:00","2022/12/07 10:50:08"
"TEACH FIRST","12059","6 Mitre Passage, Greenwich Peninsula, London, England, SE10 0ER","SE10 0ER","04478840","85600","4.8","0","","","0","0","26.2","73.8","24.1","75.9","21.8","78.2","28.7","71.3","https://www.teachfirst.org.uk/reports/gender-pay-gap-report-2022","Jay Nash (Director of Human Resources)","500 to 999","TEACH FIRST","False","2023/04/05 00:00:00","2022/07/15 09:09:58"
"TEC Partnership","20804","Nuns Corner, Grimsby, United Kingdom, DN34 5BQ","DN34 5BQ","","","13.8","21.3","66.7","40.6","0.3","0.5","20.8","79.2","27.5","72.5","35.9","64.1","46.3","53.7","","","1000 to 4999","TEC Partnership","False","2023/03/31 00:00:00","2022/07/06 10:22:28"
"Teignbridge District Council","12081","Forde House, Brunel Road, Newton Abbot, Devon, United Kingdom, TQ12 4XX","TQ12 4XX","","1,
84110","-4.9","-1.1","","","0","0","78.2","21.8","36.8","63.2","65.4","34.6","49.2","50.8","","","250 to 499","Teignbridge District Council","False","2023/03/31 00:00:00","2023/01/04 11:52:35"
"Tendring District Council","12116","Town Hall, Station Road, Clacton-On-Sea, Essex, United Kingdom, CO15 1SE","CO15 1SE","","1,
84110","5.8","0","","","0","0","43","57","40","60","43","57","45","55","https://www.tendringdc.gov.uk/council/performance-spending/transparency-%E2%80%93-making-public-information-available-everyone","","500 to 999","Tendring District Council","False","2023/03/31 00:00:00","2023/01/03 13:58:48"
